                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6781,                 1.0932,                 1.8675,                0.96009,                0.91925,                 0.8285,                0.89348,                0.76843,                0.91884,                 0.8279,                0.89011,                0.70891,                0.49277,                0.68834,                0.56002,                0.78021,              0.0033299,              0.0033299,              0.0033299
                      2,                0.57792,                0.73728,                0.73261,                0.91046,                0.94692,                0.95002,                0.96924,                0.82044,                0.94524,                 0.9567,                0.97065,                0.74896,                0.48087,                0.65109,                0.47761,                 0.7836,              0.0065313,              0.0065313,              0.0065313
                      3,                0.60349,                0.73502,                0.67836,                0.92201,                0.96774,                0.93823,                0.96039,                0.80004,                0.95859,                0.94218,                0.96133,                 0.7292,                0.52859,                0.66482,                0.50962,                0.80053,              0.0096007,              0.0096007,              0.0096007
                      4,                0.59008,                0.72223,                0.62058,                0.91794,                0.97525,                0.95954,                0.97605,                0.82948,                0.97535,                0.95851,                0.97611,                0.73756,                 0.4786,                0.64597,                0.42739,                0.78391,               0.009406,               0.009406,               0.009406
                      5,                0.54114,                0.66675,                0.54147,                0.90543,                0.96714,                0.97153,                0.97514,                0.84752,                0.96267,                 0.9673,                0.97194,                0.76928,                0.43591,                0.61313,                0.37644,                0.77079,               0.009208,               0.009208,               0.009208
                      6,                0.51164,                0.63485,                0.48608,                0.89661,                0.97719,                0.96265,                0.97106,                0.86636,                0.98171,                0.96397,                0.97642,                0.77636,                0.42523,                0.57758,                0.36542,                0.77795,                0.00901,                0.00901,                0.00901
                      7,                 0.4906,                0.62682,                0.45304,                0.89367,                0.97968,                0.95413,                0.97795,                0.88264,                0.97821,                0.95801,                0.98006,                0.78652,                0.39703,                0.56182,                0.34454,                 0.7694,               0.008812,               0.008812,               0.008812
                      8,                0.46902,                0.59035,                 0.4213,                0.88676,                0.96926,                0.97019,                0.97578,                0.88138,                0.97174,                0.97035,                0.97907,                0.78763,                0.38194,                0.53017,                0.31137,                0.76257,               0.008614,               0.008614,               0.008614
                      9,                0.45745,                0.58398,                0.40445,                0.88548,                0.97388,                0.97308,                0.97656,                0.88766,                0.97032,                0.97814,                0.97863,                0.79113,                0.38842,                0.53155,                0.31266,                0.76449,               0.008416,               0.008416,               0.008416
                     10,                0.44603,                0.57311,                0.38571,                0.88158,                0.97522,                0.97171,                0.97824,                0.89545,                0.96698,                0.97826,                0.97911,                0.79197,                0.36577,                0.52482,                0.29709,                0.75966,               0.008218,               0.008218,               0.008218
                     11,                0.43626,                0.55972,                0.37683,                0.88019,                0.97029,                0.97407,                0.97805,                0.89877,                 0.9719,                0.97664,                0.98198,                0.79952,                0.36384,                 0.5145,                0.29345,                0.75629,                0.00802,                0.00802,                0.00802
                     12,                0.42791,                0.55654,                0.36613,                0.87941,                0.97484,                0.97153,                 0.9786,                0.90083,                0.98073,                0.96748,                 0.9769,                0.79672,                0.34384,                0.51888,                0.27878,                0.75466,               0.007822,               0.007822,               0.007822
                     13,                0.41653,                0.54634,                0.35074,                0.87573,                0.97552,                0.97369,                0.97697,                0.91166,                0.97304,                0.97495,                0.98015,                0.79889,                0.34014,                0.51222,                0.26974,                0.75117,               0.007624,               0.007624,               0.007624
                     14,                 0.4109,                0.53276,                0.34428,                0.87428,                0.98181,                0.97345,                0.97733,                0.90774,                0.98259,                0.96994,                0.97933,                0.79889,                   0.34,                0.50446,                0.26815,                0.75179,               0.007426,               0.007426,               0.007426
                     15,                0.40558,                0.53375,                0.33852,                  0.873,                0.97493,                0.97587,                0.97865,                 0.9128,                0.97063,                0.98187,                0.98365,                0.81462,                0.34453,                0.50005,                0.26407,                0.75504,               0.007228,               0.007228,               0.007228
                     16,                 0.4017,                0.52106,                0.33123,                0.87252,                0.97317,                0.97088,                0.97604,                0.90934,                0.97769,                0.97344,                0.97937,                0.80442,                0.33417,                0.49449,                0.25862,                0.75159,                0.00703,                0.00703,                0.00703
                     17,                0.39482,                0.52381,                0.32587,                0.87209,                0.98065,                0.97406,                0.98093,                0.91418,                0.97076,                0.97715,                0.97977,                0.80475,                0.33406,                0.50454,                0.25632,                0.75304,               0.006832,               0.006832,               0.006832
                     18,                 0.3906,                0.51197,                0.32131,                0.87074,                0.97995,                0.97296,                0.97758,                0.91762,                0.98009,                0.97031,                0.97783,                0.81352,                0.32256,                0.49253,                0.24822,                0.74779,               0.006634,               0.006634,               0.006634
                     19,                0.38459,                0.51617,                 0.3148,                0.86854,                0.97652,                0.97746,                0.98196,                0.92142,                0.98195,                 0.9775,                0.98177,                0.81283,                0.32377,                 0.4868,                0.24177,                0.74836,               0.006436,               0.006436,               0.006436
                     20,                0.38033,                0.50312,                0.31179,                0.86741,                0.98694,                0.96799,                0.97987,                0.91988,                0.97541,                0.97245,                 0.9807,                0.81051,                0.31954,                0.48617,                0.24624,                 0.7513,               0.006238,               0.006238,               0.006238
                     21,                0.37715,                 0.5079,                0.30697,                0.86743,                0.97637,                0.97646,                0.98082,                0.92354,                0.97578,                0.96784,                0.97823,                0.81386,                0.31599,                0.48591,                0.24048,                0.74778,                0.00604,                0.00604,                0.00604
